Pneumomediastinum	HP:0025421
Vasa previa	None
Abnormal umbilical cord blood vessels	None
Abnormal umbilical cord blood vessel morphology	None
Delayed umbilical cord separation	None
Delayed separation of umbilical cord	None
Premature delivery because of cervical insufficiency or membrane fragility	None
Absent cavum septum pellucidum	None
1-minute APGAR score of 3	None
Reduced fetal long bone echogenicity	None
Maternal vascular malperfusion	None
Placental thickness increased	None
Increased placental thickness	None
Fetal intracranial hemorrhage	None
Abnormal umbilical blood flow measurement	None
Abnormal fetal pulmonary morphology	None
Fetal scalp mass	None
Fetal cerebellar hemisphere hemorrhage	None
Hydrops fetalis, non-immune	None
Nonimmune hydrops fetalis	None
Nonimmune hydrops	None
Hydrops fetalis, nonimmune	None
Non-immune foetal hydrops	None
Non-immune fetal hydrops	None
Frank breech presentation	None
Placental mesenchymal dysplasia	None
Delivery by Odon device	None
Amnion-chorion separation	None
Spontaneous chorioamniotic separation	None
High cord blood oxygen level	None
Hyperoxemia in cord blood	None
Amniotic bands	None
Pseudoainhum	None
Amniotic constriction band	None
Congenital constriction band sequence	None
Amniotic constriction ring	None
Abnormal blood gas level in cord blood	None
Fetal hydrothorax	None
Foetal fifth finger clinodactyly	None
Foetal little finger curvature	None
Fetal pinky finger curvature	None
Foetal pinky finger curvature	None
Fetal little finger curvature	None
Foetal pinkie finger curvature	None
Fetal pinkie finger curvature	None
Fetal fifth finger clinodactyly	None
Bilateral fetal pyelectasis	None
Bilateral foetal pyelectasia	None
Bilateral foetal pyelectasis	None
Bilateral fetal pyelectasia	None
Fetal skin edema	None
Fetal neck mass	None
Grade I fetal intracranial hemorrhage	None
Fetal subependymal hemorrhage	None
Grade I foetal intracranial haemorrhage	None
Fetal anemia	None
Fetal pleural effusion	None
Foetal PDA narrowing-closure	None
Foetal PAD narrowing-closure	None
Fetal ductus arteriosus narrowing-closure	None
Foetal arterial duct narrowing-closure	None
Premature closure of the ductus arteriosus	None
Idiopathic constriction of the fetal ductus arteriosus	None
Idiopathic constriction of the foetal ductus arteriosus	None
PCDA	None
Fetal PAD narrowing-closure	None
Fetal arterial duct narrowing-closure	None
Fetal PDA narrowing-closure	None
Foetal ductus arteriosus narrowing-closure	None
Congenital cystic disease of the lung	None
Cystic adenomatoid lung disease	None
Congenital cystic adenomatoid malformation of the lung	None
Congenital pulmonary airway malformation	None
Congenital cystic adenomatoid malformation	None
CCAM	None
Abnormal fetal nasal bone visualization	None
Fetal intraventricular hemorrhage without ventriculomegaly	None
Grade II fetal intracranial hemorrhage	None
Grade II foetal intracranial haemorrhage	None
Abnormal cord blood measurement	None
Placenta accreta	None
Velamentous cord insertion	None
Umbilical vein varix	None
Abnormal placental pentration beyond the uterine wall	None
Placenta percreta	None
Persistent fetal circulation	None
Persistent foetal circulation	None
Intraluminal meconium calcification	None
10-minute APGAR score of 4	None
Elevated umbilical artery Dopplers	None
Elevated umbilical artery pulsatility	None
Increased umbilical artery pulsatility index	None
Abnormal insertion of umbilical cord	None
Long umbilical cord	None
Fetal intraventricular hemorrhage	None
Hydatidiform mole	None
Abnormal preimplantation embryonic development	None
Elevated fetal middle cerebral artery peak systolic velocity	None
Therapeutic abortion	None
Increased fetal lens echogenicity	None
10-minute APGAR score of 3	None
Abnormalities of placenta or umbilical cord	None
Induced vaginal delivery	None
Fetal cerebellar vermis hemorrhage	None
Premature rupture of membranes	None
Formation of multiple pronuclei during fertilization	None
1-minute APGAR score of 0	None
Increased nuchal translucency	None
Persistent patent ductus venosus	None
Abnormal four chamber view of the fetal heart	None
Abnormal four chamber view	None
Breech presentation at birth	None
Feet or buttocks of fetus positioned near opening of uterus	None
Feet or buttocks of foetus positioned near opening of uterus	None
Breech presentation	None
Abnormal placental membrane morphology	None
Abnormality of placental membranes	None
Hypoplastic fetal nasal bone	None
Small fetal abdominal circumference	None
Prenatal ultrasound: bowel loops dilated	None
Foetal bowel dilatation	None
Fetal bowel dilatation	None
Short umbilical cord	None
Foetal renal pelvic dilatation	None
Mild foetal hydronephrosis	None
Fetal renal pelvic dilatation	None
Foetal pyelectasis	None
Mild fetal hydronephrosis	None
Fetal pyelectasis	None
Absent fetal nasal bone	None
Unossified nasal bone	None
Absence of fetal nasal bone	None
Absence of foetal nasal bone	None
Increased fetal long bone echogenicity	None
Placental calcification	None
Calcified placenta	None
Abnormal umbilical artery doppler waveform during pregnancy	None
Ductus venosus agenesis with intrahepatic drainage	None
Foetal distress	None
Fetal distress	None
Fetal anomaly	None
Abnormal embryonic development	None
Reduced fetal femur/foot length ratio	None
Postterm pregnancy	None
Edematous chorionic villi	None
Grade III foetal intracranial haemorrhage	None
Grade III fetal intracranial hemorrhage	None
Fetal intraventricular hemorrhage with ventriculomegaly	None
Umbilical cord prolapse	None
Fetal pericardial effusion	None
Meconium pseudocyst	None
Subchorionic thrombohematoma	None
Breus' mole	None
Furcate cord insertion	None
Abnormal fetal genitourinary system morphology	None
Less than 10 fetal movements in 12 hours	None
Dminished fetal movement	None
Dminished foetal movement	None
Reduced foetal movements	None
Reduced fetal movement	None
Decreased foetal activity	None
Reduced foetal movement	None
Decreased movement in utero	None
Reduced fetal movements	None
Fetal hypokinesia	None
Decreased fetal movements	None
Less than 10 foetal movements in 12 hours	None
Foetal hypokinesia	None
Decreased fetal movement	None
Decreased fetal activity	None
Decreased foetal movements	None
Decreased foetal movement	None
Sonographic non-visualized fetal bladder	None
Fetal chylothorax	None
Snowflake effect in amniotic cavity	None
Snowflake sign	None
Fetal posterior fossa hemorrhage	None
Fetal choroid plexus cysts	None
Foetal choroid plexus cysts	None
Abnormal fetal skin morphology	None
Fetal umbilical vein dilatation	None
Fetal intra-abdominal umbilical vein varix	None
Foetal umbilical vein dilatation	None
FIUVV	None
Short foetal femur length	None
Short fetal thigh bone length	None
Short foetal thigh bone length	None
Short fetal femur length	None
Fixed fetal extremities	None
Fetal atrial septal dilatation	None
Foramen ovale aneurysm	None
Foetal atrial septal dilatation	None
Redundant septum primum flap	None
High cord blood carbon dioxide level	None
Hypercapnia in cord blood	None
5-minute APGAR score of 6	None
Hydropic placenta	None
Hydrops of the placenta	None
Low levels of amniotic fluid	None
Decreased amniotic fluid index	None
Oligohydramnios	None
Maternal oligohydramnios	None
10-minute APGAR score of 1	None
Hypocapnia in cord blood	None
Low cord blood carbon dioxide level	None
Twin-to-twin transfusion	None
Twin to twin transfusion syndrome	None
Type 1 congenital pulmonary airway malformation	None
Early severe foetal akinesia sequence	None
Foetal akinesia sequence	None
Early severe fetal akinesia sequence	None
Fetal akinesia	None
Fetal akinesia sequence	None
Foetal akinesia	None
Primary Caesarian section	None
Low APGAR score	None
Fetal abdominal cyst	None
Foetal cystic abdominal mass	None
Fetal cystic abdominal mass	None
Foetal abdominal cyst	None
High levels of amniotic fluid	None
Increased amniotic fluid index	None
Polyhydramnios	None
Hydramnios	None
Complete breech presentation	None
Abnormal fetal skeletal morphology	None
10-minute APGAR score of 5	None
Echogenic fetal colon	None
Amniotic constriction rings of arms	None
Female fetal virilization	None
Female foetal virilization	None
10-minute APGAR score of 2	None
Abnormal fetal heart outflow tract	None
Low cord blood oxygen level	None
Hypoxemia in cord blood	None
Thickened nuchal skin	None
Increased nuchal fold thickness	None
Thick nuchal fold	None
Thickened skin over the neck	None
Thickened nuchal skin fold	None
Increased nuchal fold	None
Thickened skin folds of neck	None
Excess nuchal skin	None
Umbilical cord cyst	None
Very preterm birth	None
Abnormality of the foetal circulation system	None
Abnormality of the foetal cardiovascular system	None
Abnormality of the fetal cardiovascular system	None
Abnormality of the fetal circulation system	None
Abnormal fetal cardiovascular morphology	None
Fetal oral mass	None
Abnormality of prenatal development or birth	None
Fetal lung hyperechogenicity	None
Short foetal humerus length	None
Short foetal long bone in upper arm length	None
Short fetal humerus length	None
Short fetal long bone in upper arm length	None
Fetal hyperkinesia	None
Increased fetal movement	None
Increased foetal movement	None
Foetal hyperkinesia	None
Placenta increta	None
Abnormal amniotic fluid protein concentration	None
Vacuum-assisted vaginal delivery	None
Ventouse delivery	None
Vacuum extraction	None
Shoulder dystocia	None
5-minute APGAR score of 2	None
Lemon sign	None
Zygotic cleavage failure	None
Failure of zygotic cell division	None
1-minute APGAR score of 1	None
Abnormal placental adhesion into the uterine wall	None
Secondary Caesarian section	None
Foetal polyuria	None
Fetal polyuria	None
Villitis of unknown aetiology	None
Chronic villitis	None
Villitis of unknown etiology	None
Nonspecific chronic villitis	None
Chronic villitis (non-infectious)	None
5-minute APGAR score of 4	None
Enlarged fetal lungs	None
Decreased amniotic fluid alpha-fetoprotein concentration	None
Incomplete breech presentation	None
Abnormal foetal CNS morphology	None
Abnormal fetal CNS morphology	None
Abnormal fetal central nervous system morphology	None
1-minute APGAR score of 2	None
Intrauterine foetal demise of one twin after midgestation	None
Intrauterine fetal demise of one twin after midgestation	None
Single-twin demise	None
Umbilical cord haematoma	None
Umbilical cord hematoma	None
Ductus venosus agenesis with extrahepatic drainage and liver bypass	None
Fetal nuchal edema	None
Gastric pseudomass	None
Anhydramnios	None
Low 10-minute APGAR score	None
Early embryonic arrest	None
Preimplantation lethality	None
Preimplantation embryonic lethality	None
Amniotic constriction rings of legs	None
1-minute APGAR score of 4	None
5-minute APGAR score of 1	None
Subchorionic septal cyst	None
Fetal lower urinary tract obstruction	None
Delayed passage of meconium	None
Fetal neck anomaly	None
5-minute APGAR score of 0	None
Amniotic shelf	None
Amniotic Sheet	None
Fetal extra-axial hemorrhage	None
Placenta praevia	None
Placenta previa	None
Placental hamartoma	None
Chorangioma	None
Caesarean section	None
Nuchal cord	None
Abnormal fetal gastrointestinal system morphology	None
Fetal tachycardia	None
Forceps delivery	None
Absence of stomach bubble on foetal sonography	None
Non-visualisation of the fetal stomach	None
Non-visualisation of the foetal stomach	None
Absent stomach bubble	None
Absence of stomach bubble on fetal sonography	None
Neonatal omphalitis	None
Umbilical cord stump infection	None
Omphalitis	None
Congenital agranulocytosis	None
Anti-alanyl-tRNA synthetase antibody positivity	None
Anti-PL-12 antibody positivity	None
Anti-p53 antibody positivity	None
Skin abscess	None
Cutaneous abscess	None
Abnormality of neutrophil morphology	None
Abnormal neutrophil morphology	None
Abnormality of tumor necrosis factor secretion	None
Abnormality of cachexin secretion	None
Abnormality of tumour necrosis factor secretion	None
Abnormality of cachectin secretion	None
Elevated circulating interleukin 1 receptor antagonist concentration	None
Eggshell calcification of lymph nodes	None
Peripheral calcification of lymph nodes	None
Comedonal acne	None
Comedogenic acne	None
Perinephritis	None
Abnormality of cytokine secretion	None
Complement component 4A deficiency	None
Decreased circulating complement C4a concentration	None
