Abnormality of the breast	HP:0000769
Abnormal major histocompatibility complex class II surface expression	None
Abnormal human leukocyte antigen class II surface expression	None
Transient hypogammaglobulinemia of infancy	None
Newborn gammaglobulin deficiency	None
Anti-factor IX antibody positivity	None
Anti-FIX antibody positivity	None
Abnormality of the lymphatic vessels	None
Abnormal lymphatic vessel morphology	None
Defective B cell differentiation	None
Viral hepatitis	None
Abnormal proportion of gamma-delta T-lymphocytes	None
Abnormal proportion of gamma-delta T cells	None
Abnormal proportion of gamma-delta T lymphocytes	None
Abnormal proportion of gammadelta T cells	None
Recurrent Klebsiella infections	None
Klebsiella infections, recurrent	None
Increased neutrophil nuclear projections	None
Keratitis sicca	None
Dry eyes	None
Dry eye syndrome	None
Xerophthalmia	None
Keratoconjunctivitis sicca	None
Abnormal circulating IgA concentration	None
Abnormal IgA level in blood	None
Abnormal circulating IgA level	None
Recurrent fungal infections	None
Abnormal lymph node morphology	None
Abnormal lymph node histology	None
Abnormality of the lymph nodes	None
Splenic foamy cells	None
Splenic lipid-laden macrophage infiltration	None
Spleen biopsy: lipid-laden macrophages	None
Abnormal phagocytosis	None
Lymphangioma of the orbit	None
Recurrent cystitis	None
Recurrent bladder infections	None
Severe EBV infection	None
Fulminant infectious mononucleosis	None
Severe Epstein Barr virus infection	None
Anti-liver cytosol antibody-1 positivity	None
Anti-liver cytosolic antigen type 1 antibody positivity	None
Reduced proportion of CD4-positive cells	None
Decreased proportion of CD4-positive T cells	None
Decreased proportion of CD4+ cells	None
Decreased proportion of CD4-positive, alpha-beta T cells	None
Anti-desmocollin antibody positivity	None
Partial absence of specific antibody response to hepatitis B vaccine	None
Increased circulating myelocyte count	None
Lipid-laden lymph node macrophages	None
Abnormality of the alternative complement pathway	None
Heliotrope rash of eyelid	None
Predominantly epidermal neutrophilic infiltrate	None
Gum disease	None
Pyorrhea	None
Periodontal disease	None
Periodontitis	None
Insect allergy	None
Allergy to insects	None
Immunoglobulin E-mediated insect allergy	None
IgE-mediated insect allergy	None
Oligoclonal elevated circulating IgE concentration	None
Oligoclonal elevation of circulating IgE	None
Anti-HLA-A antibody positivity	None
Kidney inflammation	None
Nephritis	None
Susceptibility to chickenpox	None
Unusual infection	None
Increased circulating IgG4 level	None
Elevated natural killer cell count	None
Anti-GM1 IgG antibody positivity	None
Chronic (near) absent IgG4 in blood	None
Chronic (near) absent circulating IgG4	None
Insulin receptor antibody positivity	None
Abnormal macrophage count	None
Increased circulating interleukin 5 concentration	None
IL-5 high in blood	None
Inflammation of the outer white part of the eye	None
Scleritis	None
Transient decreased circulating IgG4	None
Transient decreased IgG4 in blood	None
Antigliadin antibody positivity	None
AGA autoantibodies	None
Abnormal proportion of memory B cells	None
CyN	None
Cyclic neutropenia	None
Anti-topoisomerase I antibody positivity	None
Top1 antibody positivity	None
Topoisomerase (DNA) I antibody positivity	None
Anti-Scl-70 antibody positivity	None
AMoL	None
Acute monocytic leukemia	None
Acute monoblastic leukaemia	None
Acute monoblastic leukemia	None
AML-M5	None
Acute monocytic leukaemia	None
Anti-class II HLA antibody positivity	None
Myeloproliferative disorder	None
Impaired neutrophil bactericidal activity	None
Immediate-type hypersensitivity drug reaction	None
Anti-Ku antibody positivity	None
Abnormal thymus position	None
Ectopic thymus tissue	None
Chronic decreased IgE in blood	None
Chronic decreased circulating IgE	None
Chronic decreased circulating IgE concentration	None
Peritoneal abscess	None
Frequent Giardia lamblia infestation	None
Anti-Ro52 antibody positivity	None
Anti-Ro52/TRIM21 antibody positivity	None
Abnormal proportion of naive CD8 T cells	None
Enlarged mesenteric lymph node	None
Anti-Purkinje cell cytoplasmic antibody 1	None
Anti-Yo antibody positivity	None
Abnormally low T cell receptor excision circle level	None
Anti-GT1b antibody positivity	None
Anti-neuronal intermediate filament antibody positivity	None
Abnormality of neutrophil physiology	None
Lymph-node hemophagocytosis	None
Anti-thyroid-stimulating hormone receptor antibody positivity	None
TRAbs	None
Anti-thyrotropin receptor antibody	None
Anti-TSH receptor antibody positivity	None
Inclusion bodies in leukocytes	None
Leukocyte inclusion bodies	None
Dohle-like leukocyte inclusion bodies	None
Anti-H4 antibody positivity	None
Abnormal CH50	None
Abnormal total hemolytic complement activity	None
Post-vaccination yellow fever	None
Postvaccination yellow fever	None
Abnormal CD4-positive, CD25-positive, alpha-beta regulatory T cell count	None
Anti-transglutaminase 6 antibody	None
Eosinophilic dermatitis	None
Eosinophilic dermal infiltration	None
Abnormal size of nasopharyngeal adenoids	None
Aplasia of lymphatic vessels	None
Absent lymphatic vessels	None
Anti-thrombospondin type I domain-containing 7A antibody positivity	None
Anti-THSD7A antibody	None
Anti-THSD7A antibody present in blood	None
Smaller or shorter than typical limbs	None
Micromelia	None
EMG: continuous motor unit activity at rest	None
Irregular end part of long bone	None
Irregular epiphyses	None
Bullet-shaped distal phalanx of the 2nd finger	None
Bullet-shaped outermost bone of the index finger	None
Small radial epiphyses	None
Progressively abnormally enlarging cranium	None
Macrocephaly, progressive	None
Progressive macrocephaly	None
Progressively abnormally enlarging skull	None
Undermodeled humerus	None
Aplasia/Hypoplasia of the distal phalanx of the thumb	None
Absent/underdeveloped outermost thumb bone	None
Absent/small outermost thumb bone	None
Large pelvis bone	None
Large pelvis	None
Abnormality of the sacroiliac notch	None
Abnormality of the greater sacrosciatic notch	None
Abnormal greater sciatic notch morphology	None
Abnormality of greater sciatic notch	None
Thoracic scoliosis	None
Soft teeth	None
Soft tooth enamel	None
Immature tooth enamel	None
Hypomature dental enamel	None
Fragmentation of the end part of the outermost bone of the 3rd toe	None
Fragmentation of the epiphysis of the distal phalanx of the 3rd toe	None
Duplication of the proximal phalanx of the thumb	None
Partial/complete duplication of the proximal phalanx of the thumb	None
Notched innermost bone of thumb	None
Elongated radius	None
Abnormal spine	None
Abnormality of the vertebral column	None
Abnormal vertebral column	None
Abnormality of the spine	None
Abnormality of the backbone	None
Hypoplastic frontal bones	None
Hypotrophic frontal bones	None
Underdevelopment of bone of forehead	None
Hypoplasia of the frontal bone	None
Hypotrophic frontal bone	None
Thin bone of forehead	None
Small bone of forehead	None
Decreased size of bone of forehead	None
Abnormality of the outermost 4th toe bone	None
Abnormality of the distal phalanx of the 4th toe	None
Knee pain	None
Pain under knee cap	None
Osteolytic defect of the proximal phalanx of the thumb	None
Osteolytic defects of the proximal phalanx of the thumb	None
Fatigable weakness of distal limb muscles	None
Bracket epiphysis of the proximal phalanx of the hallux	None
Bracket shaped end part of the innermost bone of big toe	None
Meningoencephalocele	None
Abnormally ossified vertebrae	None
Abnormal bone maturation of vertebra	None
Abnormal vertebral ossification	None
Abnormality of ossification/mineralisation of vertebrae	None
Absent in utero ossification of vertebral bodies	None
Lipodystrophy	None
Inability to make and keep healthy fat tissue	None
Tendonitis	None
Teninitis	None
Abnormal 3rd finger phalanx morphology	None
Abnormality of the phalanges of the 3rd finger	None
Abnormality of middle finger phalanges	None
Abnormality of 3rd finger phalanges	None
Abnormality of the middle finger bones	None
Decreased osteoclast count	None
Peg-like central prominence of distal tibial metaphyses	None
Duplication of the middle phalanx of the 3rd finger	None
Duplication of the middle bone of the middle finger	None
Partial/complete duplication of the middle phalanx of the 3rd finger	None
Disproportionately short upper portion of limb	None
Short stature, rhizomelic	None
Rhizomelic short limbs	None
Rhizomelia	None
Rhizomelic short stature	None
Rhizomelic dwarfism	None
Rhizomelic shortening	None
Symmetrical rhizomelic limb shortening	None
Rhizomelic limb shortening	None
Carpometacarpal thumb joint contracture	None
Contracture of the carpometacarpal joint of the thumb	None
Femoral spur	None
Spurring of femur	None
Contracture of the distal interphalangeal joint of the 3rd toe	None
Duplication of phalanx of 3rd finger	None
Duplication of middle finger bone	None
Partial/complete duplication of phalanges of the 3rd finger	None
Limitation of movement at ankles	None
Increased bone density of end part of the outermost bone of the big toe	None
Ivory epiphysis of the distal phalanx of the hallux	None
Short outermost bone of the 4th toe	None
Short distal phalanx of the fourth toe	None
Short distal phalanx of the 4th toe	None
Hypoplastic/small distal phalanx of the 4th toe	None
Abnormality of the fascia	None
Abnormal fascia morphology	None
Fused outermost and middle index finger bones	None
Symphalangism of the distal and middle phalanges of the 2nd finger	None
Distal/middle symphalangism of 2nd finger	None
Parietal bossing	None
Biparietal bossing	None
Bossing of parietal bone	None
Bracket shaped end part of 1st long bone of hand	None
Bracket epiphysis of the 1st metacarpal	None
Cortical sclerosis	None
Anterior beaking of vertebral bodies	None
Beaked vertebral bodies	None
Vertebral tongue-like protrusion	None
anterior beaking	None
Anterior beaking of vertebrae	None
Beaking of vertebral bodies	None
Complete duplication of the middle phalanx of the 2nd toe	None
Complete duplication of the middle bone of the 2nd toe	None
Abnormal shape of shaft of long bone	None
Abnormality of the diaphyses	None
Abnormality involving the diaphyses of the limbs	None
Abnormality of shaft of long bone of the limbs	None
Anomaly of the limb diaphyses morphology	None
Anomaly of the limb diaphyses	None
Abnormal diaphysis morphology	None
Triangular shaped distal phalanx of the 3rd finger	None
Triangular shaped outermost bone of the middle finger	None
Lipoma of bone	None
Intraosseous lipoma	None
Intra-osseous lipoma	None
Bone lipoma	None
Bony lipoma	None
Eosinophilic fasciitis	None
Partial/complete duplication of the middle bone of the ring finger	None
Duplication of the middle phalanx of the 4th finger	None
Partial/complete duplication of the middle phalanx of the 4th finger	None
Extrapyramidal muscular rigidity	None
Absent/hypoplastic paranasal sinuses	None
Fragmentation of the epiphysis of the distal phalanx of the 2nd toe	None
Fragmentation of the end part of the outermost bone of the 2nd toe	None
Underdevelopment of anterior nasal spine	None
Decreased projection of anterior nasal spine	None
Deficiency of anterior nasal spine	None
Decreased length of anterior nasal spine	None
Hypotrophic anterior nasal spine	None
Small anterior nasal spine	None
Hypoplasia of the anterior nasal spine	None
Decreased size of anterior nasal spine	None
Internal tibial torsion	None
Internal tibial rotation	None
Dolichocephaly	None
Narrow skull shape	None
Turridolichocephaly	None
Tall and narrow skull	None
Narrow head shape	None
Narrow cranium shape	None
Long, narrow head	None
Large dolichocephalic skull	None
Wide toe bones	None
Broad phalanx of the toes	None
Premature epimetaphyseal fusion in foot	None
Neurogenic scapuloperoneal syndrome	None
Scapuloperoneal weakness	None
Anterior rib punctate calcifications	None
Absent/hypoplastic metatarsals	None
Aplasia/Hypoplasia of metatarsal bones	None
Absent/underdeveloped long bone of foot	None
Aplastic/hypoplastic metatarsals	None
Absent or hypoplastic metatarsal	None
Absent/hypoplastic metacarpals	None
Absent/small long bone of foot	None
Enlarged epiphysis of the proximal phalanx of the 3rd finger	None
Large epiphysis of proximal middle-finger phalanx	None
Enlarged end part of innermost long bone of the middle finger	None
Abnormality of wide portion of outermost thighbone	None
Distal femoral metaphyseal abnormality	None
Abnormal distal femoral metaphysis morphology	None
Short middle phalanx of the 3rd finger	None
Hypoplastic/small middle phalanx of the 3rd finger	None
Brachymesophalangy III (finger)	None
Short middle bone of middle finger	None
Increased bone density in the middle bone of the pinky finger	None
Sclerosis of the middle phalanx of the 5th finger	None
Increased bone density in the middle bone of the little finger	None
Increased bone density in the middle bone of the pinkie finger	None
